BOOK_NAME,BOOK_COMPANY,BOOK_INTRO,BOOK_RENT,BOOK_AUTHOR,BOOK_RELEASE,BOOK_IMAGE
김상욱의 양자 공부,사이언스북스,"우리의 몸, 우리가 마시는 공기, 아침에 먹은 된장찌개까지 모든 것은 원자로 이루어져 있다. 그러나 우리는 원자가 무엇인지 잘 모른다. 책과 언론, 방송을 통해 대중과 활발히 소통해 온 저자는 “세상에서 일어나는 모든 일들을 이해하기 위해서는 그 모든 것을 이루고 있는 원자를 이해해야 한다.”고 말한다. 이 책은 양자 세계의 기본 개념부터 양자 중첩 , 결어긋남, 양자 얽힘 등 기묘한 현상들, 카오스, 열역학 제 2 법칙, 양자 컴퓨터, 양자 생물학 등의 폭넓은 이야기를 독자들에게 다양한 비유와 여러 관점에서 최선을 다해 친절하게 설명하고 있다.



§ 420-김52기

 ",n,김상욱,201807,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201807020158140590.jpg
우리가 녹는 온도,달,"정이현 소설의 감각적이고도 치밀한 문장과 산문의 서늘하면서도 다정한 생각을 동시에 만날 수 있는 『우리가 녹는 온도』. 《풍선》 《작별》 이후 꼭 10년 만에 책을 통해 정이현의 산문을 만나본다. 주위의 사연을 듣거나, 저자 자신이 겪었거나, 혹은 머릿속에서 상상해 가공한 짧은 이야기 형태의 ‘그들은,’과 그에 덧붙여 담담하게 적어 내려간 개인적 속마음을 담은 ‘나는,’에 담긴 모두 열편의 이야기+산문을 만나볼 수 있다.

 

§ 814.7-정68우

 ",n,정이현,201807,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201807020156292510.jpg
만주에서 만난 우리 역사,한림,"역사 속 만주는 우리 조상이 동북아시아 여러 민족과 때로는 평화롭게 교류하고, 때로는 으르렁거리며 싸움을 벌이던 무대였다. 인문기획집단 ‘문사철’의 대표이자 많은 역사서를 집필한 강응천 작가가 이번에는 광활한 중국 땅 ‘만주’에 얽힌 고대부터 근현대까지의 한국사를 이야기한다. 고구려, 발해, 고려, 조선 등의 흥망성쇠와 그 속의 다양한 사건 및 인물을 보다 객관적인 시각에서 만날 수 있다.



§ 911-강67마

 ",n,강응천,201807,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201807020155464500.jpg
"취향을 설계하는 곳, 츠타야",위즈덤하우스,"“사람은 명령이 아니라 꿈에 의해 움직인다.”라는 저자의 말처럼 사람들은 누구나 하고 싶은 일을 하면서 돈을 벌고 싶어 하며, 그런 능력을 갖추기를 희망한다. 이 책은 일본 츠타야 서점에서 발전한 복합 문화 공간 ‘츠타야’에 대한 이야기다. 도서와 음반을 대여하던 소규모 매장에서 문구, 소품 등 아이템을 확장하며, ‘생활 제안’이라는 새로운 콘셉트로 발전한 츠타야는 고객의 취향을 설계하는 공간이다. 저자는 젊은 시절 좋아하는 음악과 관련된 대여점 사업을 시작으로 기획사로 성장해 온 과정을 소개한다.



§ 325.211-마57취장

 ",n,마스다 무네아키,201806,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201806101248254850.jpg
하나도 괜찮지 않습니다,백도씨,"도대체 무엇이 ‘하나도 괜찮지 않다’는 것일까 ? 이 책은 공공선을 위해서는 뜨거워질 줄 모르며 부끄러움을 모르는 사회를 이야기 한다. 제대로 부끄러워할 줄 모르고 감정의 온도 조절 기능이 상실된 사회 속 이슈들을 화두로 하며, 사회에 만연한 언행들을 사례별로 보여 준다. 이 책을 사회적 자기 계발서라고 하는 저자는 좋은 사회가 되길 원한다면 나부터 나쁜 사람이 되지 않는 것이 중요하다고 한다. 책을 읽으며 함께 고민하고 나 스스로를 되돌아볼 수 있다.



§ 330.4-오82하

 ",n,오찬호,201806,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201806101247432760.jpg
"과학, 그거 어디에 써먹나요?",북클라우드,"과학기자인 저자는 재미없다고 여겨지는 과학을 모두가 이해할 수 있는 말로 전하고 싶어 책을 쓰게 되었다. 과학 분야 기자에 걸맞게 최대한 쉽게 풀어낸 과학용어와 주변에서 볼 수 있는 흥미로운 주제를 짤막한 내용으로 소개하고 있다. <네이처>,<사이언스>에 수록된 저명한 논문을 인용해 책의 내용에 신뢰감까지 더하고 있다는 점도 이 책의 큰 매력이다. 저자는 과학과 관련된 여러 가지 이슈를 알려줌으로써 과학이 얼마나 일상과 가까운지, 과학적 지식 혹은 과학적 접근법이 왜 우리에게 필요한지를 전하고 있다.



§ 404-원95과

 ",n,원호섭,201806,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201806101245252710.jpg
살아 있는 자를 수선하기,열린책들,"이 책은 사고로 인해 뇌사 판정을 받은 열아홉 살 시몽 랭브르의 장기 기증 과정의 24 시간을 긴박하게 다루고 있다 . 시몽은 친구들과 서핑을 하고 돌아오는 중 교통사고를 당하여 뇌사 판정을 받는다. 시몽의 부모는 의학적 사망진단을 받았음에도 불구하고 여전히 심장이 뛰고 있는 아들의 장기 기증 여부를 결정해야 하는 상황에 놓인다. ' 장기 기증 ' 이라는 소재를 통하여 , 가족 , 장기 이식 코디네이터 , 이식 대기자 등 주변 인물들의 심리와 죽음의 경계 , 생명의 의미 등을 시적이고 정교하게 표현하고 있다 . 인물들의 대화를 큰따옴표를 사용하지 않고 본문에 기술하고 , 연상어 , 부연 설명 , 심리 묘사 등을 괄호에 표기하여 문장 곳곳에 배치하는 등 작가의 개성 있는 문체가 독특하다.

 

§ 863-케292사정

 ",n,마일리스 드 케랑갈,201806,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201806101241431130.jpg
태연한 척할래,민음사,"십 대 시절의 기억들을 떠올려 보자. 막막하거나 공허했거나 아팠던 기억을……. 그 시절 겪어 냈던 경험들은 성인의 자신을 규정짓고 인생 전반에 걸쳐 크고 작은 영향을 준다. 민음사에서 출간된 이탈리아 소설 『태연한 척 할래』의 주인공 알레산드라는 고등학교 때 갑자기 암으로 엄마를 잃는 아픈 일을 겪는다. 아주 어릴 적 아빠가 떠나고, 엄마와 외할머니와 살아온 알레산드라에게 엄마의 죽음은 마치 세상과의 단절과도 같은 경험이다. 엄마와 아주 가까운 사이는 아니었지만, 어둡고 생각이 많은 자신과 달리 엄마가 보이던 밝은 웃음과 에너지를 다시 볼 수 없다는 것은 알레산드라에게 커다란 고통과 후회로 다가온다.



§ 883-프294태이

 ",n,파올라 프레디카토리,201806,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201806101239421680.jpg
정치인의 식탁,애플북스,"『정치인의 식탁』은 세계사를 뒤흔든 인물 33인의 인물이 즐겨 먹었던 음식, 특이한 식습관을 통해 세계사를 읽어준다. 무솔리니와 스탈린, 간디, 오바마 등 유명인들의 업적과 관련 사건은 역사시간에 배워서 알고 있지만 그들의 진짜 성격, 정치 스타일, 세계관, 역사관을 파악하기란 쉽지 않았다. 이 책은 각 인물들이 즐겨 먹었던 음식과 식습관을 에피소드 중심으로 소개해 그동안 몰랐던 정치인들의 솔직한 속내와 세계사의 주요 고비에 어떤 음식이 영향을 미쳤는지, 또한 '식탁외교'가 갖는 의미 등을 재미있게 이해할 수 있게 해준다.



§ 340.9-차68저이

 ",n,차이쯔창,201805,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201805151125537061.jpg
나는 왜 출근만 하면 예민해질까,스몰빅라이프,"당신이 회사 갈 생각만 하면 예민해지는 이유는 무엇인가?

일이 많아서? 월급이 적어서? 무능력한데 잔소리만 많은 상사가 싫어서? 그 이유가 무엇이든, 기본적으로 깔려 있는 전제는 이것이다. ‘나는 유능하지만 회사에서 인정받지 못하고 있다.’ 그렇다면 생각을 바꿔보는 것은 어떨까? 능력을 인정받지 못한다고 스트레스를 받기보다, 하루라도 빨리 능력을 인정받는 방법을 찾아보는 것이다. 주위를 둘러보라. 능력이 출중해서 인정받는 사람은 과연 몇이나 되는가? 사실상 능력의 차이는 회사에서 크게 중요하지 않다. 이 책은 20년 넘게 조직심리 전문가로 활동한 저자가 회사생활에 어려움을 느끼는 사람들을 상담하고 그에 맞는 해결방법과 훈련법을 제시한 내용을 담고 있다.



§ 375.211-매878나이

 ",n,머리 매킨타이어,201805,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201805151125371041.jpg
저도 과학은 어렵습니다만,바틀비,"생화학자이자 서울시립과학관 관장인 저자가 쓴 62편의 생활밀착형 과학 에세이. 과학적 사고방식으로 세상을 이해하는 방법을 소개함으로써 과학과 친해지면 삶이 조금은 편해지고 여유로워질 수 있다는 사실을 알려준다. 이 책은 완벽해 보이는 논리를 타파하는 시도로, ‘물화생지’로 통용되는 기존 과학 지식 구분이 아닌, 생활에 딱 붙어 도저히 삶과 떼어낼 수 없는 ‘생활밀착형 과학’을 제시한다. 이 책이 과학적 태도로 쏘아올린 숱한 화살표를 따라가다 보면, 과학자도 왜 과학이 어려운지, 과학자가 아니어도 어떻게 과학이 가능한지 확인할 수 있고, 꼭 과학자가 아니어도 과학적 태도로 살아간다는 것이 얼마나 흥미진진한 일인지 공감할 수 있다.



§ 404-이74저

 ",n,이정모,201805,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201805151125158991.jpg
하루를 살아도 당당하게,니케북스,"당당하게 살고 싶은 중년을 위한 거침없는 솔직 에세이. 이 책은 중년 이후의 삶을 당당하게 만들어 가라는, 중년에게 보내는 응원이다. 저자는 중년에 접어들면서 무엇보다 중요하게 여겨야 하는 것이 자존감이라고 말한다. 이 책에서 특히 저자는 50 대에도 뭔가를 새롭게 시작하려는 사람들에게 이제와는 다른 삶에 대해 이야기한다. 50~60 대가 삶을 영위해나가는 데 가장 중요한 것은 자존감을 지키는 것이라며, 그 방법을 경험과 사례를 통해 들려준다.



§ 814.7-황68하

 ",n,황인희,201805,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201805151124599001.jpg
세 갈래 길,밝은세상,"시나리오 작가이자 영화감독, 배우로 활동하고 있는 래티샤 콜롱바니의 첫 장편소설로, 사는 곳은 다르지만 동시대를 사는 세 사람을 하나로 엮어냈다. 세 인물은 최악의 빈곤부터 치유가 어려운 질병까지, 각자의 삶에 나타난 장애물을 마주하고 있다. 이 책은 커다란 반향을 불러일으키며 베스트셀러가 되었고, 전 세계 27개국에서 출간된 작품이다. 세 인물은 사회가 부여하는 '관습'이라는 장벽 앞에서 좌절하지만 주어진 운명을 거부하고 남은 생을 스스로 선택한다. 이들의 용기 있는 선택은 자신도 모르는 사이 '머리카락'이라는 매개체를 통해 세 명의 삶을 하나로 엮어 연대로 이끈다.



§ 863-콜295세임

 ",n,래티샤 콜롱바니,201805,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201805151124359021.jpg
음식 속 조선 야사,팜파스,"우리 음식으로 배부르고 뇌 부르게 즐기는 조선사.

이 책은 음식과 관련해 역사책엔 없는 내용이지만 조선의 내면을 깊숙이 들여다 볼 수 있는 야사를 풀어냈다. 야사지만 단순히 흥미 위주의 내용이 아닌 조선의 정치사와 생활사, 시대상, 향토사, 신분과 관련한 폭넓은 지식들을 쉽고 재미있게 소개한다. 조선 사람들의 SNS 역할을 했던 저잣거리의 주막을 배경으로, 이 책을 펼친 모두에게 맛있는 음식을 내어주고 그에 얽힌 조선 야사까지 들려준다. 지금부터 음식사와 더불어 조선사까지 부담 없이 소화시킬 수 있는 풍성한 차림상이 펼쳐진다.

§ 381.75-송64으

 ",n,송영심,201804,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201804010347598540.jpg
홍박사의 과일 상자,나무나무,"하루 5분만 읽어도 지적으로 바뀌는 놀라운 과학 이야기.

『홍박사의 과일상자: 과학 일단 상상하자』는 과학의 달콤한 앞면과 쌉싸래한 뒷면을 함께 보여줌으로써 과학이 우리 삶과 동떨어진 것이 아니란 사실을 말하고 있다. 놀라운 과학적 발견의 이면에는 삶의 생생한 민낯이 숨어 있고, 그 삶을 반영한 것이 과학이라는 것이다. 흥미롭고 재미있는 도판과 이미지들을 넣어 책을 구성하였다. 글들은 토막으로 나뉘어져 있어서 읽는 데 어려움이 없다. 짧고 쉬운 말로 과학적 사유를 설명하고 있는 이 책은 과학에 다가가는 쉽고 재미있는 길을 열어줄 것이다.

§ 404-홍54과

 ",n,홍성욱,201804,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201804010345306510.jpg
"매일이, 여행",민음사,"전 세계를 사로잡은 요시모토 바나나의 일상 여행 에세이.

평범한 듯 보이는 소박한 일상을 우리는 매일 마주한다. 그런데 작가는 이러한 평범한 순간들을 여행의 첫날처럼 두근거리는, 특별한 마법처럼 바라본다. 동시대의 감성을 섬세하게 짚어내는 것으로 많은 사랑을 받는 요시모토 바나나는 이번 에세이집에서 그 정점을 보여 준다. 삶에서 결국 가져갈 수 있는 것은 아무것도 없으며 오로지 추억만이 온전한 내 소유라는 성숙한 철학이 모든 페이지에 깊게 배어 있다. 이 책은 천천히 흘러가는 일상 속에서 보물을 건져내는 재미와 감동이 있다.

§ 834-요58매김

 ",n,요시모토 바나나,201804,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201804010344573720.jpg
왕들의 부부싸움,애플북스,"조선을 만나는 또 다른 시선!

조선시대 왕과 왕비의 부부생활은 평탄하기만 했을까? 왕이라는 최고 권력자와 그의 반려자 사이에는 어떤 관계가 형성되어 있을까? 부부싸움이 국가 단위의 정치적 쟁점으로 부각되기도 했고, 반대로 정치적 쟁점이 부부생활에 영향을 끼치기도 했다. 이 책은 조선의 일곱 왕의 역사를 부부의 싸움을 통해서 알아봄으로써 인간적인 왕과 왕비의 모습을 발견할 수 있음은 물론, 역사적 사건의 배경까지 자연스레 이해할 수 있게 해주는 새로운 개념의 역사 대중서이다.

§ 911.05-이54왕

 ",n,이성주,201804,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201804010343572800.jpg
왜 양말은 항상 한 짝만 없어질까?,사회평론,"우리 일상에 숨어 있는 '비합리성'이라는 범인을 추적하는 책.

우리가 흔하게 겪는 일상적인 상황에서 찰나의 고민에 숨어 있는 행동경제학과 심리학을 끄집어낸다. 저자는 여기에서 한걸음 더 나아가 인간의 비합리성은 일관되며, 그 일관성을 통해 예측이 가능하다고 주장한다. 또한 우리의 어떤 부분이 ‘예측 가능한 비합리성’인지, 그리고 이를 어떻게 피할 수 있는지에 대해 행동경제학자로서 통찰력 있는 조언을 해준다. 댄 애리얼리는 이런 시시콜콜한 고민들이야말로 우리 자신과 우리의 의사 결정에 대한 비밀을 풀어주는 열쇠가 될 수 있음을 강조한다.

§ 181.91-애298왜안

 ",n,댄 애리얼리,201804,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201804010340527050.jpg
어쩌다 어른,교보문고,"지식을 넘어 젊음이 담긴, 어쩌다 어른이 된 청춘을 위한 특강.

수많은 어른들의 지적 욕망을 충족시켜주는 동시에 팍팍한 현실을 이겨낼 인문학적 통찰을 건넸던 프리미엄 특강쇼 《어쩌다 어른》의 강연 중 특별히 화제가 되었던 강연을 선별해 정리했다. 각 분야의 대표 지식인들은 우리에게 심리학, 역사, 과학, 철학, 의학 등 전문적 지식을 어렵게 말하기보다 더 친근하게, 더 재미있게 전달한다. 어른의 인생을 살아가야 할 우리들에게 통찰력과 용기를 줄 것이다.



§ 001.3-어74어

 ",n,어쩌다 어른 제작팀,201803,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201803150844561550.jpg
연암 박지원 말꽃 모음,단비,"연암 박지원의 방대한 저작에 걸친 생애와 사상을 시집과 같은 작은 책 한 권에, 이렇게 간결한 말꽃들로 마주할 수 있는 것이 이 책의 가장 큰 특징이자 장점일 것이다. 엮은이가 특별히 이 문장을 고른 까닭이나 감동을 느끼는 지점들에 공감하며 박지원이라는 조선시대의 큰 문장가이자 학자의 곁으로 한 발짝 다가갈 수 있을 것이다. 책 속의 문장들은 시와 같은 형식의 짧은 글들이지만, 편히 읽을 수 있다는 작은 수고로움에 비하면 그의 사상과 철학이 응축되어 집약된 문장들이 전하는 울림은 커다란 깊이로 감동을 선사해 줄 것이라 믿는다.



§ 199.8-박78여

 ",n,박지원,201803,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201803150843180810.jpg
이상한 정상 가족,동아시아,"가족 내에서 가장 취약한 사람인 아이를 중심에 두고 우리의 가족, 가족주의가 불러오는 세상의 문제들을 바라보고자 한다.

가족이라는 이름으로 묵인되거나 포장되어온 다양한 유형의 폭력을 중심으로 가족의 문제를 들여다보면서 그 기저에 한국의 가족주의가 뿌리내리고 있음을 보여준다. 가족주의와 정상가족 이데올로기가 한국 사회에서 어떤 역사적 맥락을 가지고 있는지 사례를 통해 밝히면서 가족 안팎에서 아이들을 대하는 방식에서 드러나는 인간성과 도덕성, 질서, 개인과 공동체에 대한 우리 사회의 통념을 다시 한 번 생각해보고자 한다.



§ 332.2-김97이



 ",n,김희경,201803,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201803150840538270.jpg
"말, 글, 뜻",푸른영토,"말은 생각과 느낌이 흐르는 강이며 글은 생각과 느낌을 담는 바다다.

저자는 국문학도로서 문자의 유래를, 서예가로서 그 예술적인 가치를 말하며 인생의 여행자로서 그것을 일상어로 풀어낸다. 도정의 유희를 통해 서예와 문자 속에 숨어 있는 인생살이를 깨닫는 재미가 쏠쏠하다. 이야기는 흥겨운 추임새처럼 경쾌하게 이어진다. 그의 흥에 취해 책을 읽다보면 어느 새 유쾌함 속에서 지식을 얻어가는 자신의 모습을 발견할 수 있을 것이다.



§ 814.7-권52마

 ",n,권상호,201803,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201803150839372190.jpg
나의 문화유산 답사기: 서울편,창비,"인간과 역사와 예술이 어우러진 기행문학의 백미.

《서울편》에서는 ‘미’를 보는 저자만의 안목에 우리 문화유산에 쏟아진 세계인들의 찬탄을 더해 궁궐의 도시, 서울의 매력을 총체적으로 집약했다. 조선왕조의 상징적 문화유산인 종묘를 시작으로 창덕궁, 창덕궁 후원, 창경궁의 구석구석 살피며 조선 건축의 아름다움, 왕족들의 삶과 애환, 전각마다 서린 수많은 사연 등을 그윽하게 풀어낸다. 역사, 예술, 문화를 아우르는 방대한 정보를 절묘하게 엮어내고 쉽게 풀어내 따로 공부하지 않아도 우리 역사를 한눈에 볼 수 있도록 했다.



§ 981.102-유95나-9

 ",n,유홍준,201803,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201803150837334110.jpg
그들은 책 어디에 밑줄을 긋는가,비즈니스 북스,"일본의 독서 멘토인 저자는 수많은 CEO를 만나면서 그들의 ‘독서법’과 ‘책을 대하는 자세’에서 차이점을 발견한다. 성공한 한 권의 책을 읽더라도 성공을 만들어 낸 ‘원인’을 찾아 밑줄을 긋고, ‘나는 이 부분을 어떻게 응용할 수 있을까?’를 생각한다는 것이다. 결과적으로 책을 읽고 자신의 것으로 소화하고 실천해 인생의 터닝 포인트를 만드는 것이다. 느리게 읽기, 부분 독서, 원인 보기, 다르게 읽기, 배경 읽기 등 살아 있는 독서 노하우를 통해 독자들이 자신을 위한 하나의 밑줄을 그을 수 있도록 도와준다.

§ 029.4-도68그이

 ",n,도이 에이지,201802,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201801280929556610.jpg
신경 끄기의 기술,갤리온,"수많은 선택지와 기회비용 앞에서 인생의 목적을 잃어버린 채 가치관의 혼란을 겪는 현대인들에게 뜻밖의 깨달음을 전한다. 저자가 말하는 신경 끄기란 무심함과는 다르다. 먼저 나 자신만 특별히 불행하다는 착각이나 남보다 특출나야 한다는 일종의 ‘허세’를 버리고, 인생에는 원래 고통이 수반된다는 사실을 인정하는 것부터 출발해야 한다. 그래야만 비로소 진짜 중요한 것과 그렇지 않은 것을 구별해낼 혜안을 갖게 된다. 당신의 고통을 ‘도구’로, 트라우마를 ‘힘’으로, 문제를 ‘더 나은 문제’로 변화시켜준다.

§ 325.211-맨57시한

 ",n,마크 맨슨,201802,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201801280928440470.jpg
아픔이 길이 되려면,동아시아,"이 책에서는 고용 불안, 차별 등 사회적 상처가 어떻게 우리 몸을 아프게 하는지, 사회가 개인의 몸에 어떻게 반영되는지를 사회역학의 여러 연구 사례와 함께 이야기한다. 저자는 “사회적 환경과 완전히 단절되어 진행되는 병이란 존재할 수 없다”고 말하면서, “인간의 몸과 건강을 어떻게 바라보고, 개개인의 삶에 대한 공동체의 책임은 어디까지”여야 하는지에 대해 묻는다. 최첨단 의료 기술의 발전으로 유전자 수준에서 병을 예측하고 치료하는 게 가능해지더라도, 사회의 변화 없이 개인은 건강해질 수 없다고 말이다.

§ 334-김57아

 ",n,김승섭,201802,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201801280927220400.jpg
지능의 탄생,바다,"지능이란 무엇인가? 인간의 뇌는 어떻게 진화했는가? 곧 도래할 인공지능의 시대를 준비하기 위해서는 지능에 대한 이해가 선행되어야 한다. 예일대 신경과학과 이대열 석좌교수는 생명이라는 관점에서 지능에 대한 새로운 통찰을 제공한다. 생물학에 문외한인 사람도 쉽게 이해할 수 있도록 바퀴벌레나 해파리, 예쁜꼬마선충 등 다양한 동물의 사례를 보여준다. 인간의 행동은 생물학이나 심리학이란 하나의 렌즈만으로는 완전히 파악할 수 없다. 저자는 신경과학과 경제학, 심리학을 자유롭게 넘나들며 인간 지능의 다양한 면모를 탐색함으로써 학문의 진정한 융합을 보여준다.



§ 511.1813-이23지

 ",n,이대열,201802,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201801280926218350.jpg
달의 영휴,해냄,"사람이 태어나고 죽는 것을 달이 차고 기우는 ‘영휴(盈虧)’로 은유한 작가는 현재와 과거를 교차시키며 수수께끼와 같은 만남 속의 의문이 하나씩 풀려나가는 구조를 취했고, 시간별 5개 장에 전체 13개의 에피소드로 구성했다. 미스터리한 내용을 매끄러운 문체로 이야기하고 있다. 떠나간 사람을 향한 애틋한 그리움이 환상적인 이야기로 펼쳐지는 『달의 영휴』는 독자들로 하여금 메말라버린 사랑의 기억을 떠올리게 함으로써 언젠가 소중한 사람을 다시 만날 수 있으리라는 희망을 품게 해줄 것이다.

§ 833.6-사885다서

 ",n,사토 쇼고,201802,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201801280925116530.jpg
뉴스가 위로가 되는 이상한 시대입니다,부키,"JTBC <뉴스룸>에서 일하는 시사방송작가가 스튜디오 뒤편에서 전해 온 보도 일기. 지금은 JTBC 주말 <뉴스룸> 메인작가가 된 저자 임경빈은 탄핵 정국 당시 팩트체크 코너 메인작가로, 취재 겸 광화문 촛불 집회에 나갔던 어느 날 자신이 만든 방송을 시민들과 함께 보는 귀한 경험을 했다. 그날의 먹먹한 감동을 글로 남기기 시작한 것이 한 권의 책이 되었다. JTBC <뉴스룸>의 성공 요인과 보도국 안에서 겪은 크고 작은 일들, 좌충우돌 뉴스 만들기 에피소드와 카메라 뒤에서 일하는 보이지 않는 사람들의 하루, 최순실 국정농단 사태와 가슴에 새긴 세월호 참사 보도까지. 시사방송작가의 묵묵한 기록을 통해 참으로 이상했던 그때, 뉴스가 위로가 되어 주었던 날들을 말한다.

§ 070.43-임14뉴

 ",n,임경빈,201801,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201801080849269860.jpg
똑똑함의 숭배,갈라파코스,"크리스토퍼 헤이즈는 미국의 정치평론가로, 누구에게나 성공할 수 있는 기회가 주어지고 본인의 노력에 따라 보상받는 ‘능력주의’의 맹점을 날카롭게 비판한다. 능력주의를 통해 생겨난 상위 1% 엘리트 집단과 능력주의를 신봉하여 엘리트 집단의 결정에 의심 없이 동조하는 나머지 99%의 사람들에게 능력주의의 문제점이 무엇인지 다양한 예시를 들어 보여준다. 저자는 기회의 평등에만 관심을 두고 결과의 타당한 평등은 전혀 고려하지 않는 사회는 기회마저 불평등한 사회과 될 것이라고 경고한다. 더불어 결과의 실질적 평등과 사회복지, 노력을 통한 계층이동이 가능한 사회를 만드는 것이 우리가 지향해야할 점이라고 조언한다.



§ 332.6-헤68또한

 ",n,크리스토퍼 헤이즈,201801,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201801080847590280.jpg
음식해부도감,더숲,"음식에 대해 생각할 수 있는 모든 주제를 그림으로 다룬다. 미식에 관한 세계의 이모저모에서 시작해 다양하게 맛보는 고기요리, 곡식으로 만든 맛있는 것들, 알고 먹으며 더 맛있는 과일과 채소, 우유의 변신인 유제품, 없으면 아쉬운 조미료와 향신료의 세계, 각국의 달콤한 디저트까지 각각의 이야기 속에는 맛과 요리에 관한 이야기뿐만 아니라 각국의 문화·기후·역사적 특징, 동서양의 차이와 조우 등이 담겨 있다. 책을 통해 독자들은 음식에 대한 관심과 새로운 시선이 삶을 더욱 풍요롭게 할 수 있음을 알게 될 것이다. 또한 음식을 사랑하는 많은 사람들에게는 체험한 적 없는 음식의 맛과 만들기에 관한 ‘영감’과 즐거움을 주는 계기가 되어줄 것이다.



§ 594-로57으김

 ",n,줄리안 로스먼,201801,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201801080846462480.jpg
딸에 대하여,민음사,"소수에 대한 차별과 사회적 약자의 현실을 보여주는 소설. 화자인 어머니는 예순이 넘은 현재, 노인요양병원에서 요양보호사로 일하고 있다. 딸은 대학 강사로 지식 노동자이지만 경제적으로 불안정한 상태이며, 동성애자로 평범하지 않은 삶을 살고 있다. 어머니가 돌보는 ‘젠’은 젊은 날 해외에서 공부하며 한국계 입양아들과 이주 노동자들을 위해 일하였지만 지금은 무연고자 치매노인으로 사회로부터 배제되어 있다. 사회와 불화하고 남들처럼 평범하게 살지 않는 딸과 갈등하던 어머니가 딸이 겪는 차별과 젠이 당하는 부당함을 보면서 서서히 변화하는 모습은 사회적 변화를 기대하게 한다. 결혼과 양육으로 인해 여성이 겪는 경력 단절, 질 낮은 노동에 따른 경제적 빈곤과 남들과 다름에서 겪는 폭력 및 차별, 약자에 대한 배척 등을 담담한 문체로 표현하고 있다.]



§ 813.7-김94따

 ",n,김혜진,201801,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201801080836216080.jpg
구스타프 소나타,문학사상사,"제 2차 세계대전 종전 직후 스위스의 한 작은 마을을 배경으로 구스타프의 소년시절부터 노년까지의 이야기. 구스타프의 아버지는 영웅이었지만 일찍 사망하여 얼굴도 알지 못했고, 어머니는 평생 아들에게 냉담하고 무관심하였다. 어린 구스타프는 피아노에 뛰어난 재능을 가진 부유한 유대인 안톤을 만난다. 사랑의 결핍이 있는 구스타프와 무대 공포증으로 재능을 발휘하지 못하는 안톤은 서로의 부족함을 채워주며 우정을 나누면서 성장한다. 유대인 난민 유입, 경제적 빈곤, 전쟁에 휩쓸리지 않기 위한 중립국으로서의 고민 등 당시 스위스 상황도 엿볼 수 있다. 전쟁이라는 비극 속에서 구스타프와 주변 인물들이 사건과 갈등을 겪는 모습을 그리지만, 사랑과 우정으로 극복해 가는 과정을 통해 삶과 인간에 대한 ‘희망’을 보여준다.



 § 843.6-트294구우

 ",n,로즈 트레마인,201801,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201801080753264430.jpg
